|	Key                 |	Value
1932   |	         Lucy's eye about who           |	{ was }
1933   |	           eye about who was            |	{ going }
1934   |	          about who was going           |	{ to }
1935   |	           who was going to             |	{ get }
1936   |	           was going to get             |	{ to , permission }
1937   |	            going to get to             |	{ ride }
1938   |	            to get to ride              |	{ it }
1939   |	            get to ride it              |	{ first. }
1940   |	           to ride it first.            |	{ But }
1941   |	          ride it first. But            |	{ finally }
1942   |	         it first. But finally          |	{ we }
1943   |	         first. But finally we          |	{ agree }
1944   |	         But finally we agree           |	{ to }
1945   |	          finally we agree to           |	{ ride }
1946   |	           we agree to ride             |	{ it }
1947   |	           agree to ride it             |	{ together. }
1948   |	         to ride it together.           |	{ Why }
1949   |	         ride it together. Why          |	{ not? }
1950   |	         it together. Why not?          |	{ Because }
1951   |	      together. Why not? Because        |	{ Lucy }
1952   |	         Why not? Because Lucy          |	{ has }
1953   |	         not? Because Lucy has          |	{ long }
1954   |	         Because Lucy has long          |	{ legs }
1955   |	          Lucy has long legs            |	{ she }
1956   |	           has long legs she            |	{ pedals. }
1957   |	         long legs she pedals.          |	{ I }
1958   |	          legs she pedals. I            |	{ sit }
1959   |	           she pedals. I sit            |	{ on }
1960   |	           pedals. I sit on             |	{ the }
1961   |	             I sit on the               |	{ back }
1962   |	            sit on the back             |	{ seat }
1963   |	           on the back seat             |	{ and }
1964   |	           the back seat and            |	{ Rachel }
1965   |	         back seat and Rachel           |	{ is }
1966   |	          seat and Rachel is            |	{ skinny }
1967   |	         and Rachel is skinny           |	{ enough }
1968   |	        Rachel is skinny enough         |	{ to }
1969   |	          is skinny enough to           |	{ get }
1970   |	         skinny enough to get           |	{ up }
1971   |	           enough to get up             |	{ on }
1972   |	             to get up on               |	{ the }
1973   |	             get up on the              |	{ handlebars }
1974   |	         up on the handlebars           |	{ which }
1975   |	        on the handlebars which         |	{ makes }
1976   |	      the handlebars which makes        |	{ the }
1977   |	      handlebars which makes the        |	{ bike }
1978   |	         which makes the bike           |	{ all }
1979   |	          makes the bike all            |	{ wobbly }
1980   |	          the bike all wobbly           |	{ as }
1981   |	          bike all wobbly as            |	{ if }
1982   |	           all wobbly as if             |	{ the }
1983   |	           wobbly as if the             |	{ wheels }
1984   |	           as if the wheels             |	{ are }
1985   |	           if the wheels are            |	{ spaghetti, }
1986   |	       the wheels are spaghetti,        |	{ but }
1987   |	       wheels are spaghetti, but        |	{ after }
1988   |	       are spaghetti, but after         |	{ a }
1989   |	        spaghetti, but after a          |	{ bit }
1990   |	            but after a bit             |	{ you }
1991   |	            after a bit you             |	{ get }
1992   |	             a bit you get              |	{ used }
1993   |	           bit you get used             |	{ to }
1994   |	            you get used to             |	{ it. , the }
1995   |	            get used to it.             |	{ We }
1996   |	            used to it. We              |	{ ride }
1997   |	            to it. We ride              |	{ fast }
1998   |	           it. We ride fast             |	{ and }
1999   |	           We ride fast and             |	{ faster. }
2000   |	         ride fast and faster.          |	{ Past }
2001   |	         fast and faster. Past          |	{ my }
2002   |	          and faster. Past my           |	{ house, }
2003   |	        faster. Past my house,          |	{ sad }
2004   |	          Past my house, sad            |	{ and }
2005   |	           my house, sad and            |	{ red }
2006   |	          house, sad and red            |	{ and }
2007   |	            sad and red and             |	{ crumbly }
2008   |	          and red and crumbly           |	{ in }
2009   |	          red and crumbly in            |	{ places, }
2010   |	        and crumbly in places,          |	{ past }
2011   |	        crumbly in places, past         |	{ Mr. }
2012   |	          in places, past Mr.           |	{ Benny's }
2013   |	       places, past Mr. Benny's         |	{ grocery }
2014   |	       past Mr. Benny's grocery         |	{ on }
2015   |	        Mr. Benny's grocery on          |	{ the }
2016   |	        Benny's grocery on the          |	{ corner, }
2017   |	        grocery on the corner,          |	{ and }
2018   |	          on the corner, and            |	{ down }
2019   |	         the corner, and down           |	{ the }
2020   |	         corner, and down the           |	{ avenue }
2021   |	          and down the avenue           |	{ which }
2022   |	         down the avenue which          |	{ is }
2023   |	          the avenue which is           |	{ dangerous. }
2024   |	      avenue which is dangerous.        |	{ Laundromat, }
2025   |	    which is dangerous. Laundromat,     |	{ junk }
2026   |	    is dangerous. Laundromat, junk      |	{ store, }
2027   |	  dangerous. Laundromat, junk store,    |	{ drugstore, }
2028   |	  Laundromat, junk store, drugstore,    |	{ windows }
2029   |	    junk store, drugstore, windows      |	{ and }
2030   |	     store, drugstore, windows and      |	{ cars }
2031   |	      drugstore, windows and cars       |	{ and }
2032   |	         windows and cars and           |	{ more }
2033   |	           and cars and more            |	{ cars, }
2034   |	          cars and more cars,           |	{ and }
2035   |	          and more cars, and            |	{ around }
2036   |	         more cars, and around          |	{ the }
2037   |	         cars, and around the           |	{ block }
2038   |	         and around the block           |	{ back , six }
2039   |	         around the block back          |	{ to }
2040   |	           the block back to            |	{ Mango. }
2041   |	         block back to Mango.           |	{ People }
2042   |	         back to Mango. People          |	{ on }
2043   |	          to Mango. People on           |	{ the }
2044   |	         Mango. People on the           |	{ bus }
2045   |	           People on the bus            |	{ wave. }
2046   |	           on the bus wave.             |	{ A }
2047   |	            the bus wave. A             |	{ very }
2048   |	           bus wave. A very             |	{ fat }
2049   |	           wave. A very fat             |	{ lady }
2050   |	            A very fat lady             |	{ crossing }
2051   |	        very fat lady crossing          |	{ the }
2052   |	         fat lady crossing the          |	{ street }
2053   |	       lady crossing the street         |	{ says, }
2054   |	       crossing the street says,        |	{ You }
2055   |	         the street says, You           |	{ sure }
2056   |	         street says, You sure          |	{ got }
2057   |	          says, You sure got            |	{ quite }
2058   |	          You sure got quite            |	{ a }
2059   |	           sure got quite a             |	{ load }
2060   |	           got quite a load             |	{ there. , there }
2061   |	          quite a load there.           |	{ Rachel }
2062   |	         a load there. Rachel           |	{ shouts, }
2063   |	      load there. Rachel shouts,        |	{ You }
2064   |	       there. Rachel shouts, You        |	{ got }
2065   |	        Rachel shouts, You got          |	{ quite }
2066   |	         shouts, You got quite          |	{ a }
2067   |	            You got quite a             |	{ load }
2068   |	          quite a load there            |	{ too. }
2069   |	           a load there too.            |	{ She }
2070   |	          load there too. She           |	{ is }
2071   |	           there too. She is            |	{ very }
2072   |	           too. She is very             |	{ sassy. }
2073   |	          She is very sassy.            |	{ Down, }
2074   |	         is very sassy. Down,           |	{ down }
2075   |	        very sassy. Down, down          |	{ Mango }
2076   |	        sassy. Down, down Mango         |	{ Street }
2077   |	        Down, down Mango Street         |	{ we }
2078   |	         down Mango Street we           |	{ go. }
2079   |	          Mango Street we go.           |	{ Rachel, }
2080   |	         Street we go. Rachel,          |	{ Lucy, }
2081   |	         we go. Rachel, Lucy,           |	{ me. }
2082   |	         go. Rachel, Lucy, me.          |	{ Our }
2083   |	         Rachel, Lucy, me. Our          |	{ new }
2084   |	           Lucy, me. Our new            |	{ bicycle. }
2085   |	         me. Our new bicycle.           |	{ Laughing }
2086   |	       Our new bicycle. Laughing        |	{ the }
2087   |	       new bicycle. Laughing the        |	{ crooked }
2088   |	     bicycle. Laughing the crooked      |	{ ride }
2089   |	       Laughing the crooked ride        |	{ back. }
2090   |	        the crooked ride back.          |	{ Laughter }
2091   |	      crooked ride back. Laughter       |	{ Nenny }
2092   |	       ride back. Laughter Nenny        |	{ and }
2093   |	       back. Laughter Nenny and         |	{ I }
2094   |	         Laughter Nenny and I           |	{ don't }
2095   |	           Nenny and I don't            |	{ look }
2096   |	           and I don't look             |	{ like }
2097   |	           I don't look like            |	{ sisters }
2098   |	        don't look like sisters         |	{ ... }
2099   |	         look like sisters ...          |	{ not }
2100   |	         like sisters ... not           |	{ right }
2101   |	         sisters ... not right          |	{ away. }
2102   |	          ... not right away.           |	{ Not }
2103   |	          not right away. Not           |	{ the }
2104   |	          right away. Not the           |	{ way }
2105   |	           away. Not the way            |	{ you }
2106   |	            Not the way you             |	{ can }
2107   |	            the way you can             |	{ tell }
2108   |	           way you can tell             |	{ with }
2109   |	           you can tell with            |	{ Rachel }
2110   |	         can tell with Rachel           |	{ and }
2111   |	         tell with Rachel and           |	{ Lucy }
2112   |	         with Rachel and Lucy           |	{ who }
2113   |	          Rachel and Lucy who           |	{ have }
2114   |	           and Lucy who have            |	{ the }
2115   |	           Lucy who have the            |	{ same }
2116   |	           who have the same            |	{ fat }
2117   |	           have the same fat            |	{ popsicle }
2118   |	         the same fat popsicle          |	{ lips }
2119   |	        same fat popsicle lips          |	{ like }
2120   |	        fat popsicle lips like          |	{ everybody }
2121   |	     popsicle lips like everybody       |	{ else }
2122   |	       lips like everybody else         |	{ in }
2123   |	        like everybody else in          |	{ their }
2124   |	        everybody else in their         |	{ family. }
2125   |	         else in their family.          |	{ But }
2126   |	         in their family. But           |	{ me }
2127   |	         their family. But me           |	{ and }
2128   |	          family. But me and            |	{ Nenny, }
2129   |	           But me and Nenny,            |	{ we }
2130   |	           me and Nenny, we             |	{ are }
2131   |	           and Nenny, we are            |	{ more }
2132   |	          Nenny, we are more            |	{ alike }
2133   |	           we are more alike            |	{ than }
2134   |	          are more alike than           |	{ you }
2135   |	          more alike than you           |	{ would }
2136   |	         alike than you would           |	{ know. }
2137   |	         than you would know.           |	{ Our }
2138   |	          you would know. Our           |	{ laughter }
2139   |	       would know. Our laughter         |	{ for }
2140   |	        know. Our laughter for          |	{ example. }
2141   |	       Our laughter for example.        |	{ Not }
2142   |	       laughter for example. Not        |	{ the }
2143   |	         for example. Not the           |	{ shy }
2144   |	         example. Not the shy           |	{ ice }
2145   |	            Not the shy ice             |	{ cream }
2146   |	           the shy ice cream            |	{ bells' }
2147   |	         shy ice cream bells'           |	{ giggle }
2148   |	        ice cream bells' giggle         |	{ of }
2149   |	        cream bells' giggle of          |	{ Rachel }
2150   |	        bells' giggle of Rachel         |	{ and }
2151   |	         giggle of Rachel and           |	{ Lucy's }
2152   |	         of Rachel and Lucy's           |	{ family, }
2153   |	       Rachel and Lucy's family,        |	{ but }
2154   |	        and Lucy's family, but          |	{ all }
2155   |	        Lucy's family, but all          |	{ of }
2156   |	          family, but all of            |	{ a }
2157   |	             but all of a               |	{ sudden }
2158   |	            all of a sudden             |	{ and , he }
2159   |	            of a sudden and             |	{ surprised }
2160   |	        a sudden and surprised          |	{ like }
2161   |	       sudden and surprised like        |	{ a }
2162   |	         and surprised like a           |	{ pile }
2163   |	         surprised like a pile          |	{ of }
2164   |	            like a pile of              |	{ dishes }
2165   |	           a pile of dishes             |	{ breaking. }
2166   |	       pile of dishes breaking.         |	{ And }
2167   |	        of dishes breaking. And         |	{ other }
2168   |	      dishes breaking. And other        |	{ things }
2169   |	      breaking. And other things        |	{ I }
2170   |	          And other things I            |	{ can't }
2171   |	         other things I can't           |	{ explain. , remember }
2172   |	        things I can't explain.         |	{ One }
2173   |	         I can't explain. One           |	{ day }
2174   |	        can't explain. One day          |	{ we }
2175   |	          explain. One day we           |	{ were }
2176   |	            One day we were             |	{ passing }
2177   |	          day we were passing           |	{ a }
2178   |	           we were passing a            |	{ house }
2179   |	         were passing a house           |	{ that }
2180   |	         passing a house that           |	{ looked, }
2181   |	         a house that looked,           |	{ in }
2182   |	         house that looked, in          |	{ my }
2183   |	          that looked, in my            |	{ mind, }
2184   |	          looked, in my mind,           |	{ like }
2185   |	           in my mind, like             |	{ houses }
2186   |	         my mind, like houses           |	{ I }
2187   |	          mind, like houses I           |	{ had }
2188   |	           like houses I had            |	{ seen }
2189   |	           houses I had seen            |	{ in }
2190   |	             I had seen in              |	{ Mexico. }
2191   |	          had seen in Mexico.           |	{ I }
2192   |	           seen in Mexico. I            |	{ don't }
2193   |	          in Mexico. I don't            |	{ know }
2194   |	         Mexico. I don't know           |	{ why. }
2195   |	           I don't know why.            |	{ There }
2196   |	         don't know why. There          |	{ was }
2197   |	          know why. There was           |	{ nothing }
2198   |	        why. There was nothing          |	{ about }
2199   |	        There was nothing about         |	{ the }
2200   |	         was nothing about the          |	{ house }
2201   |	        nothing about the house         |	{ that }
2202   |	         about the house that           |	{ looked }
2203   |	         the house that looked          |	{ exactly }
2204   |	       house that looked exactly        |	{ like }
2205   |	       that looked exactly like         |	{ the }
2206   |	        looked exactly like the         |	{ houses }
2207   |	        exactly like the houses         |	{ I }
2208   |	           like the houses I            |	{ remembered. }
2209   |	       the houses I remembered.         |	{ I'm }
2210   |	       houses I remembered. I'm         |	{ not }
2211   |	         I remembered. I'm not          |	{ even }
2212   |	       remembered. I'm not even         |	{ sure }
2213   |	           I'm not even sure            |	{ why }
2214   |	           not even sure why            |	{ I }
2215   |	            even sure why I             |	{ thought }
2216   |	          sure why I thought            |	{ it, }
2217   |	           why I thought it,            |	{ but }
2218   |	           I thought it, but            |	{ it }
2219   |	          thought it, but it            |	{ seemed }
2220   |	           it, but it seemed            |	{ to }
2221   |	           but it seemed to             |	{ feel }
2222   |	           it seemed to feel            |	{ right. }
2223   |	         seemed to feel right.          |	{ Look }
2224   |	          to feel right. Look           |	{ at }
2225   |	          feel right. Look at           |	{ that }
2226   |	          right. Look at that           |	{ house, }
2227   |	          Look at that house,           |	{ I }
2228   |	           at that house, I             |	{ said, }
2229   |	          that house, I said,           |	{ it }
2230   |	           house, I said, it            |	{ looks }
2231   |	           I said, it looks             |	{ like }
2232   |	          said, it looks like           |	{ Mexico. }
2233   |	         it looks like Mexico.          |	{ Rachel }
2234   |	       looks like Mexico. Rachel        |	{ and }
2235   |	        like Mexico. Rachel and         |	{ Lucy }
2236   |	        Mexico. Rachel and Lucy         |	{ look }
2237   |	         Rachel and Lucy look           |	{ at }
2238   |	           and Lucy look at             |	{ me }
2239   |	            Lucy look at me             |	{ like }
2240   |	            look at me like             |	{ I'm }
2241   |	            at me like I'm              |	{ crazy, }
2242   |	          me like I'm crazy,            |	{ but }
2243   |	          like I'm crazy, but           |	{ before }
2244   |	         I'm crazy, but before          |	{ they }
2245   |	        crazy, but before they          |	{ can }
2246   |	          but before they can           |	{ let }
2247   |	          before they can let           |	{ out }
2248   |	           they can let out             |	{ a }
2249   |	             can let out a              |	{ laugh, }
2250   |	           let out a laugh,             |	{ Nenny }
2251   |	          out a laugh, Nenny            |	{ says: }
2252   |	         a laugh, Nenny says:           |	{ Yes, }
2253   |	        laugh, Nenny says: Yes,         |	{ that's }
2254   |	        Nenny says: Yes, that's         |	{ Mexico }
2255   |	       says: Yes, that's Mexico         |	{ all }
2256   |	        Yes, that's Mexico all          |	{ right. }
2257   |	       that's Mexico all right.         |	{ That's }
2258   |	       Mexico all right. That's         |	{ what }
2259   |	        all right. That's what          |	{ I }
2260   |	         right. That's what I           |	{ was }
2261   |	           That's what I was            |	{ thinking }
2262   |	          what I was thinking           |	{ exactly. }
2263   |	        I was thinking exactly.         |	{ Gil's }
2264   |	      was thinking exactly. Gil's       |	{ Furniture }
2265   |	   thinking exactly. Gil's Furniture    |	{ Bought }
2266   |	    exactly. Gil's Furniture Bought     |	{ & }
2267   |	       Gil's Furniture Bought &         |	{ Sold }
2268   |	        Furniture Bought & Sold         |	{ There }
2269   |	          Bought & Sold There           |	{ is }
2270   |	            & Sold There is             |	{ a }
2271   |	            Sold There is a             |	{ junk }
2272   |	            There is a junk             |	{ store. }
2273   |	           is a junk store.             |	{ An }
2274   |	           a junk store. An             |	{ old }
2275   |	          junk store. An old            |	{ man }
2276   |	           store. An old man            |	{ owns }
2277   |	            An old man owns             |	{ it. }
2278   |	           old man owns it.             |	{ We }
2279   |	            man owns it. We             |	{ bought }
2280   |	          owns it. We bought            |	{ a }
2281   |	            it. We bought a             |	{ used }
2282   |	           We bought a used             |	{ refrigerator }
2283   |	      bought a used refrigerator        |	{ from }
2284   |	       a used refrigerator from         |	{ him }
2285   |	      used refrigerator from him        |	{ once, }
2286   |	      refrigerator from him once,       |	{ and }
2287   |	          from him once, and            |	{ Carlos }
2288   |	         him once, and Carlos           |	{ sold }
2289   |	         once, and Carlos sold          |	{ a }
2290   |	           and Carlos sold a            |	{ box }
2291   |	           Carlos sold a box            |	{ of }
2292   |	             sold a box of              |	{ magazines }
2293   |	          a box of magazines            |	{ for }
2294   |	         box of magazines for           |	{ a }
2295   |	          of magazines for a            |	{ dollar. }
2296   |	        magazines for a dollar.         |	{ The }
2297   |	           for a dollar. The            |	{ store }
2298   |	          a dollar. The store           |	{ is }
2299   |	         dollar. The store is           |	{ small }
2300   |	          The store is small            |	{ with }
2301   |	          store is small with           |	{ just }
2302   |	          is small with just            |	{ a }
2303   |	           small with just a            |	{ dirty }
2304   |	           with just a dirty            |	{ window }
2305   |	          just a dirty window           |	{ for }
2306   |	          a dirty window for            |	{ light. }
2307   |	        dirty window for light.         |	{ He }
2308   |	         window for light. He           |	{ doesn't }
2309   |	         for light. He doesn't          |	{ turn }
2310   |	        light. He doesn't turn          |	{ the }
2311   |	          He doesn't turn the           |	{ lights }
2312   |	        doesn't turn the lights         |	{ on }
2313   |	          turn the lights on            |	{ unless }
2314   |	         the lights on unless           |	{ you }
2315   |	         lights on unless you           |	{ got }
2316   |	           on unless you got            |	{ money }
2317   |	         unless you got money           |	{ to }
2318   |	           you got money to             |	{ buy }
2319   |	           got money to buy             |	{ things }
2320   |	          money to buy things           |	{ with, }
2321   |	          to buy things with,           |	{ so }
2322   |	          buy things with, so           |	{ in }
2323   |	          things with, so in            |	{ the }
2324   |	            with, so in the             |	{ dark }
2325   |	            so in the dark              |	{ we }
2326   |	            in the dark we              |	{ look }
2327   |	           the dark we look             |	{ and }
2328   |	           dark we look and             |	{ see }
2329   |	            we look and see             |	{ all }
2330   |	           look and see all             |	{ kinds }
2331   |	           and see all kinds            |	{ of }
2332   |	           see all kinds of             |	{ things, }
2333   |	         all kinds of things,           |	{ me }
2334   |	          kinds of things, me           |	{ and }
2335   |	           of things, me and            |	{ Nenny. }
2336   |	         things, me and Nenny.          |	{ Tables }
2337   |	         me and Nenny. Tables           |	{ with }
2338   |	        and Nenny. Tables with          |	{ their }
2339   |	       Nenny. Tables with their         |	{ feet }
2340   |	        Tables with their feet          |	{ upside-down }
2341   |	      with their feet upside-down       |	{ and }
2342   |	      their feet upside-down and        |	{ rows }
2343   |	       feet upside-down and rows        |	{ and }
2344   |	       upside-down and rows and         |	{ rows }
2345   |	           and rows and rows            |	{ of }
2346   |	           rows and rows of             |	{ refrigerators }
2347   |	       and rows of refrigerators        |	{ with }
2348   |	      rows of refrigerators with        |	{ round }
2349   |	      of refrigerators with round       |	{ corners }
2350   |	   refrigerators with round corners     |	{ and }
2351   |	        with round corners and          |	{ couches }
2352   |	       round corners and couches        |	{ that }
2353   |	       corners and couches that         |	{ spin }
2354   |	         and couches that spin          |	{ dust }
2355   |	        couches that spin dust          |	{ in }
2356   |	           that spin dust in            |	{ the }
2357   |	           spin dust in the             |	{ air }
2358   |	            dust in the air             |	{ when }
2359   |	            in the air when             |	{ you }
2360   |	           the air when you             |	{ punch }
2361   |	          air when you punch            |	{ them }
2362   |	          when you punch them           |	{ and }
2363   |	          you punch them and            |	{ a }
2364   |	           punch them and a             |	{ hundred }
2365   |	          them and a hundred            |	{ TV's }
2366   |	          and a hundred TV's            |	{ that }
2367   |	          a hundred TV's that           |	{ don't }
2368   |	        hundred TV's that don't         |	{ work }
2369   |	         TV's that don't work           |	{ probably. }
2370   |	       that don't work probably.        |	{ Everything }
2371   |	    don't work probably. Everything     |	{ is }
2372   |	     work probably. Everything is       |	{ on }
2373   |	      probably. Everything is on        |	{ top }
2374   |	         Everything is on top           |	{ of }
2375   |	             is on top of               |	{ everything }
2376   |	         on top of everything           |	{ so }
2377   |	         top of everything so           |	{ the }
2378   |	         of everything so the           |	{ whole }
2379   |	        everything so the whole         |	{ store }
2380   |	          so the whole store            |	{ has }
2381   |	          the whole store has           |	{ skinny }
2382   |	        whole store has skinny          |	{ aisles }
2383   |	        store has skinny aisles         |	{ to }
2384   |	         has skinny aisles to           |	{ walk }
2385   |	         skinny aisles to walk          |	{ through. }
2386   |	        aisles to walk through.         |	{ You }
2387   |	         to walk through. You           |	{ can }
2388   |	         walk through. You can          |	{ get }
2389   |	         through. You can get           |	{ lost }
2390   |	           You can get lost             |	{ easy. }
2391   |	          can get lost easy.            |	{ The }
2392   |	          get lost easy. The            |	{ owner, }
2393   |	         lost easy. The owner,          |	{ he }
2394   |	          easy. The owner, he           |	{ is }
2395   |	           The owner, he is             |	{ a }
2396   |	            owner, he is a              |	{ black }
2397   |	             he is a black              |	{ man }
2398   |	            is a black man              |	{ who }
2399   |	            a black man who             |	{ doesn't }
2400   |	         black man who doesn't          |	{ talk }
2401   |	         man who doesn't talk           |	{ much }
2402   |	         who doesn't talk much          |	{ and }
2403   |	         doesn't talk much and          |	{ sometimes }
2404   |	        talk much and sometimes         |	{ if }
2405   |	         much and sometimes if          |	{ you }
2406   |	         and sometimes if you           |	{ didn't }
2407   |	        sometimes if you didn't         |	{ know }
2408   |	          if you didn't know            |	{ better }
2409   |	        you didn't know better          |	{ you }
2410   |	        didn't know better you          |	{ could }
2411   |	         know better you could          |	{ be }
2412   |	          better you could be           |	{ in }
2413   |	            you could be in             |	{ there }
2414   |	           could be in there            |	{ a }
2415   |	             be in there a              |	{ long }
2416   |	            in there a long             |	{ time }
2417   |	           there a long time            |	{ before }
2418   |	          a long time before            |	{ your }
2419   |	         long time before your          |	{ eyes }
2420   |	         time before your eyes          |	{ notice }
2421   |	        before your eyes notice         |	{ a }
2422   |	          your eyes notice a            |	{ pair }
2423   |	          eyes notice a pair            |	{ of }
2424   |	           notice a pair of             |	{ gold }
2425   |	            a pair of gold              |	{ glasses }
2426   |	         pair of gold glasses           |	{ floating }
2427   |	       of gold glasses floating         |	{ in }
2428   |	       gold glasses floating in         |	{ the }
2429   |	        glasses floating in the         |	{ dark. }
2430   |	         floating in the dark.          |	{ Nenny }
2431   |	          in the dark. Nenny            |	{ who }
2432   |	          the dark. Nenny who           |	{ thinks }
2433   |	        dark. Nenny who thinks          |	{ she }
2434   |	         Nenny who thinks she           |	{ is }
2435   |	           who thinks she is            |	{ smart }
2436   |	          thinks she is smart           |	{ and }
2437   |	           she is smart and             |	{ talks }
2438   |	          is smart and talks            |	{ to }
2439   |	          smart and talks to            |	{ any }
2440   |	           and talks to any             |	{ old }
2441   |	           talks to any old             |	{ man, }
2442   |	            to any old man,             |	{ asks }
2443   |	           any old man, asks            |	{ lots }
2444   |	          old man, asks lots            |	{ of }
2445   |	           man, asks lots of            |	{ questions. }
2446   |	        asks lots of questions.         |	{ Me, }
2447   |	        lots of questions. Me,          |	{ I }
2448   |	          of questions. Me, I           |	{ never }
2449   |	        questions. Me, I never          |	{ said }
2450   |	           Me, I never said             |	{ nothing }
2451   |	         I never said nothing           |	{ to }
2452   |	         never said nothing to          |	{ him }
2453   |	          said nothing to him           |	{ except }
2454   |	         nothing to him except          |	{ once }
2455   |	          to him except once            |	{ when }
2456   |	         him except once when           |	{ I }
2457   |	          except once when I            |	{ bought }
2458   |	          once when I bought            |	{ the }
2459   |	           when I bought the            |	{ Statue }
2460   |	          I bought the Statue           |	{ of }
2461   |	         bought the Statue of           |	{ Liberty }
2462   |	         the Statue of Liberty          |	{ for }
2463   |	         Statue of Liberty for          |	{ a }
2464   |	           of Liberty for a             |	{ dime. }
2465   |	          Liberty for a dime.           |	{ But }
2466   |	            for a dime. But             |	{ Nenny, }
2467   |	          a dime. But Nenny,            |	{ I }
2468   |	          dime. But Nenny, I            |	{ hear }
2469   |	           But Nenny, I hear            |	{ her }
2470   |	           Nenny, I hear her            |	{ asking }
2471   |	           I hear her asking            |	{ one }
2472   |	          hear her asking one           |	{ time }
2473   |	          her asking one time           |	{ how's }
2474   |	         asking one time how's          |	{ this }
2475   |	          one time how's this           |	{ here }
2476   |	         time how's this here           |	{ and }
2477   |	          how's this here and           |	{ the }
2478   |	           this here and the            |	{ man }
2479   |	           here and the man             |	{ says, }
2480   |	           and the man says,            |	{ This, }
2481   |	          the man says, This,           |	{ this }
2482   |	         man says, This, this           |	{ is }
2483   |	          says, This, this is           |	{ a }
2484   |	            This, this is a             |	{ music }
2485   |	            this is a music             |	{ box, }
2486   |	            is a music box,             |	{ and }
2487   |	           a music box, and             |	{ I }
2488   |	           music box, and I             |	{ turn }
2489   |	            box, and I turn             |	{ around }
2490   |	           and I turn around            |	{ quick }
2491   |	          I turn around quick           |	{ thinking }
2492   |	      turn around quick thinking        |	{ he }
2493   |	       around quick thinking he         |	{ means }
2494   |	        quick thinking he means         |	{ a }
2495   |	          thinking he means a           |	{ pretty }
2496   |	           he means a pretty            |	{ box }
2497   |	          means a pretty box            |	{ with }
2498   |	           a pretty box with            |	{ flowers }
2499   |	        pretty box with flowers         |	{ painted }
2500   |	       box with flowers painted         |	{ on }
2501   |	        with flowers painted on         |	{ it, }
2502   |	        flowers painted on it,          |	{ with }
2503   |	          painted on it, with           |	{ a }
2504   |	             on it, with a              |	{ ballerina }
2505   |	         it, with a ballerina           |	{ inside. }
2506   |	       with a ballerina inside.         |	{ Only }
2507   |	       a ballerina inside. Only         |	{ there's }
2508   |	    ballerina inside. Only there's      |	{ nothing }
2509   |	     inside. Only there's nothing       |	{ like }
2510   |	       Only there's nothing like        |	{ that }
2511   |	       there's nothing like that        |	{ where }
2512   |	        nothing like that where         |	{ this }
2513   |	         like that where this           |	{ old }
2514   |	          that where this old           |	{ man }
2515   |	          where this old man            |	{ is }
2516   |	            this old man is             |	{ pointing, }
2517   |	         old man is pointing,           |	{ just }
2518   |	         man is pointing, just          |	{ a }
2519   |	          is pointing, just a           |	{ wood }
2520   |	         pointing, just a wood          |	{ box }
2521   |	            just a wood box             |	{ that's }
2522   |	           a wood box that's            |	{ old }
2523   |	          wood box that's old           |	{ and }
2524   |	          box that's old and            |	{ got }
2525   |	          that's old and got            |	{ a }
2526   |	             old and got a              |	{ big }
2527   |	             and got a big              |	{ brass }
2528   |	            got a big brass             |	{ record }
2529   |	          a big brass record            |	{ in }
2530   |	          big brass record in           |	{ it }
2531   |	          brass record in it            |	{ with }
2532   |	           record in it with            |	{ holes. }
2533   |	           in it with holes.            |	{ Then }
2534   |	          it with holes. Then           |	{ he }
2535   |	          with holes. Then he           |	{ starts }
2536   |	         holes. Then he starts          |	{ it }
2537   |	           Then he starts it            |	{ up }
2538   |	            he starts it up             |	{ and }
2539   |	           starts it up and             |	{ all }
2540   |	             it up and all              |	{ sorts }
2541   |	           up and all sorts             |	{ of }
2542   |	           and all sorts of             |	{ things }
2543   |	          all sorts of things           |	{ start }
2544   |	         sorts of things start          |	{ happening. }
2545   |	      of things start happening.        |	{ It's }
2546   |	     things start happening. It's       |	{ like }
2547   |	      start happening. It's like        |	{ all }
2548   |	       happening. It's like all         |	{ of }
2549   |	           It's like all of             |	{ a }
2550   |	             like all of a              |	{ sudden }
2551   |	            of a sudden he              |	{ let }
2552   |	            a sudden he let             |	{ go }
2553   |	           sudden he let go             |	{ a }
2554   |	              he let go a               |	{ million }
2555   |	           let go a million             |	{ moths }
2556   |	          go a million moths            |	{ all }
2557   |	          a million moths all           |	{ over }
2558   |	        million moths all over          |	{ the }
2559   |	          moths all over the            |	{ dusty }
2560   |	          all over the dusty            |	{ furniture }
2561   |	       over the dusty furniture         |	{ and }
2562   |	        the dusty furniture and         |	{ swan-neck }
2563   |	     dusty furniture and swan-neck      |	{ shadows }
2564   |	    furniture and swan-neck shadows     |	{ and }
2565   |	       and swan-neck shadows and        |	{ in }
2566   |	       swan-neck shadows and in         |	{ our }
2567   |	          shadows and in our            |	{ bones. }
2568   |	           and in our bones.            |	{ It's }
2569   |	          in our bones. It's            |	{ like }
2570   |	         our bones. It's like           |	{ drops }
2571   |	        bones. It's like drops          |	{ of }
2572   |	          It's like drops of            |	{ water. }
2573   |	         like drops of water.           |	{ Or }
2574   |	          drops of water. Or            |	{ like }
2575   |	           of water. Or like            |	{ marimbas }
2576   |	        water. Or like marimbas         |	{ only }
2577   |	         Or like marimbas only          |	{ with }
