|	Key                 |	Value
575    |	          disco heaven Get back, bunny            |	{ It's }
576    |	           heaven Get back, bunny It's            |	{ getting }
577    |	          Get back, bunny It's getting            |	{ cold }
578    |	          back, bunny It's getting cold           |	{ in }
579    |	           bunny It's getting cold in             |	{ here }
580    |	            It's getting cold in here             |	{ little }
581    |	           getting cold in here little            |	{ honey }
582    |	            cold in here little honey             |	{ We }
583    |	             in here little honey We              |	{ got }
584    |	            here little honey We got              |	{ a }
585    |	              little honey We got a               |	{ show }
586    |	               honey We got a show                |	{ to }
587    |	                We got a show to                  |	{ put , put }
588    |	                got a show to put                 |	{ on , on }
589    |	                a show to put on                  |	{ your , your }
590    |	               show to put on your                |	{ dress , dress }
591    |	              to put on your dress                |	{ Take , Take }
592    |	             put on your dress Take               |	{ a , a }
593    |	              on your dress Take a                |	{ minute , minute }
594    |	            your dress Take a minute              |	{ for , for }
595    |	             dress Take a minute for              |	{ us , us }
596    |	              Take a minute for us                |	{ and , and }
597    |	               a minute for us and                |	{ relax, , relax, }
598    |	            minute for us and relax,              |	{ relax , relax }
599    |	             for us and relax, relax              |	{ Cupid's , The }
600    |	           us and relax, relax Cupid's            |	{ got }
601    |	          and relax, relax Cupid's got            |	{ me, }
602    |	          relax, relax Cupid's got me,            |	{ oh }
603    |	            relax Cupid's got me, oh              |	{ with }
604    |	             Cupid's got me, oh with              |	{ his }
605    |	               got me, oh with his                |	{ bow }
606    |	               me, oh with his bow                |	{ & }
607    |	                oh with his bow &                 |	{ arrow, }
608    |	              with his bow & arrow,               |	{ baby }
609    |	              his bow & arrow, baby               |	{ He'll }
610    |	             bow & arrow, baby He'll              |	{ hit }
611    |	             & arrow, baby He'll hit              |	{ you }
612    |	            arrow, baby He'll hit you             |	{ in }
613    |	              baby He'll hit you in               |	{ the }
614    |	              He'll hit you in the                |	{ pants, }
615    |	              hit you in the pants,               |	{ hot }
616    |	              you in the pants, hot               |	{ pants }
617    |	             in the pants, hot pants              |	{ Get }
618    |	            the pants, hot pants Get              |	{ the }
619    |	            pants, hot pants Get the              |	{ people }
620    |	            hot pants Get the people              |	{ to }
621    |	             pants Get the people to              |	{ dance }
622    |	             Get the people to dance              |	{ and }
623    |	             the people to dance and              |	{ relax, }
624    |	           people to dance and relax,             |	{ relax }
625    |	            to dance and relax, relax             |	{ Oh }
626    |	            dance and relax, relax Oh             |	{ the }
627    |	             and relax, relax Oh the              |	{ lights }
628    |	           relax, relax Oh the lights             |	{ still }
629    |	            relax Oh the lights still             |	{ on, }
630    |	             Oh the lights still on,              |	{ we're , we're , we're , we're }
631    |	           the lights still on, we're             |	{ dancing , dancing , dancing , dancing }
632    |	         lights still on, we're dancing           |	{ Yeah , Yeah , Yeah , I }
633    |	          still on, we're dancing Yeah            |	{ the , the , the }
634    |	           on, we're dancing Yeah the             |	{ floor , floor , floor }
635    |	          we're dancing Yeah the floor            |	{ is , is , is }
636    |	            dancing Yeah the floor is             |	{ shaking , shaking , shaking }
637    |	            Yeah the floor is shaking             |	{ In , In , In }
638    |	             the floor is shaking In              |	{ this , this , this }
639    |	            floor is shaking In this              |	{ disco , disco , disco }
640    |	            is shaking In this disco              |	{ heaven , heaven , heaven }
641    |	          shaking In this disco heaven            |	{ oh, , oh, , oh, }
642    |	            In this disco heaven oh,              |	{ the , the , the }
643    |	            this disco heaven oh, the             |	{ disco , disco , disco }
644    |	           disco heaven oh, the disco             |	{ heaven , heaven , heaven , heaven , heaven , heaven }
645    |	           heaven oh, the disco heaven            |	{ The , Oh , The , Throw , The , Oh }
646    |	            oh, the disco heaven The              |	{ disco , disco , disco }
647    |	           the disco heaven The disco             |	{ heaven , heaven , heaven }
648    |	          disco heaven The disco heaven           |	{ oh, , oh, , oh, }
649    |	           heaven The disco heaven oh,            |	{ the , the , the }
650    |	            The disco heaven oh, the              |	{ disco , disco , disco }
651    |	             oh, the disco heaven Oh              |	{ the , the }
652    |	             the disco heaven Oh the              |	{ lights , lights }
653    |	           disco heaven Oh the lights             |	{ still , still }
654    |	           heaven Oh the lights still             |	{ on, , on, }
655    |	           oh, the disco heaven Throw             |	{ your }
656    |	           the disco heaven Throw your            |	{ head }
657    |	          disco heaven Throw your head            |	{ back, }
658    |	          heaven Throw your head back,            |	{ girly }
659    |	           Throw your head back, girly            |	{ Throw }
660    |	           your head back, girly Throw            |	{ it }
661    |	            head back, girly Throw it             |	{ like }
662    |	            back, girly Throw it like             |	{ those }
663    |	            girly Throw it like those             |	{ girls }
664    |	            Throw it like those girls             |	{ in }
665    |	             it like those girls in               |	{ the }
666    |	             like those girls in the              |	{ movies }
667    |	            those girls in the movies             |	{ We }
668    |	             girls in the movies We               |	{ got }
669    |	              in the movies We got                |	{ a }
670    |	               the movies We got a                |	{ show }
671    |	              movies We got a show                |	{ to }
672    |	             us and relax, relax The              |	{ ball }
673    |	            and relax, relax The ball             |	{ is }
674    |	            relax, relax The ball is              |	{ turning, }
675    |	           relax The ball is turning,             |	{ 300 }
676    |	            The ball is turning, 300              |	{ mirrors }
677    |	          ball is turning, 300 mirrors            |	{ burning }
678    |	         is turning, 300 mirrors burning          |	{ Through }
679    |	      turning, 300 mirrors burning Through        |	{ the }
680    |	         300 mirrors burning Through the          |	{ hearts }
681    |	       mirrors burning Through the hearts         |	{ of }
682    |	          burning Through the hearts of           |	{ the }
683    |	            Through the hearts of the             |	{ crowd }
684    |	             the hearts of the crowd              |	{ In }
685    |	             hearts of the crowd In               |	{ the }
686    |	               of the crowd In the                |	{ back }
687    |	              the crowd In the back               |	{ hips }
688    |	             crowd In the back hips               |	{ just }
689    |	              In the back hips just               |	{ banging }
690    |	           the back hips just banging             |	{ the }
691    |	           back hips just banging the             |	{ track }
692    |	           hips just banging the track            |	{ To }
693    |	            just banging the track To             |	{ the }
694    |	            banging the track To the              |	{ music, }
695    |	             the track To the music,              |	{ the }
696    |	             track To the music, the              |	{ music }
697    |	             To the music, the music              |	{ Oh }
698    |	             the music, the music Oh              |	{ the }
699    |	             music, the music Oh the              |	{ lights }
700    |	             the music Oh the lights              |	{ still }
701    |	            music Oh the lights still             |	{ on, }
702    |	            still on, we're dancing I             |	{ know }
703    |	            on, we're dancing I know              |	{ that }
704    |	            we're dancing I know that             |	{ we }
705    |	             dancing I know that we               |	{ are }
706    |	               I know that we are                 |	{ young , young }
707    |	             know that we are young               |	{ And , and }
708    |	              that we are young And               |	{ I }
709    |	               we are young And I                 |	{ know }
710    |	              are young And I know                |	{ that }
711    |	              young And I know that               |	{ you }
712    |	               And I know that you                |	{ may }
713    |	               I know that you may                |	{ love }
714    |	             know that you may love               |	{ me }
715    |	              that you may love me                |	{ But }
716    |	               you may love me But                |	{ I }
717    |	                may love me But I                 |	{ just , just }
718    |	               love me But I just                 |	{ can't , can't }
719    |	               me But I just can't                |	{ be , be }
720    |	               But I just can't be                |	{ with , with }
721    |	              I just can't be with                |	{ you , you }
722    |	             just can't be with you               |	{ like , like }
723    |	             can't be with you like               |	{ this , this }
724    |	              be with you like this               |	{ anymore , anymore }
725    |	           with you like this anymore             |	{ Alejandro , She's }
726    |	         you like this anymore Alejandro          |	{ Ohh.. }
727    |	        like this anymore Alejandro Ohh..         |	{ She's }
728    |	       this anymore Alejandro Ohh.. She's         |	{ got }
729    |	        anymore Alejandro Ohh.. She's got         |	{ both }
730    |	         Alejandro Ohh.. She's got both           |	{ hands }
731    |	           Ohh.. She's got both hands             |	{ In }
732    |	             She's got both hands In              |	{ her }
733    |	              got both hands In her               |	{ pockets }
734    |	            both hands In her pockets             |	{ And }
735    |	            hands In her pockets And              |	{ she }
736    |	             In her pockets And she               |	{ won't }
737    |	            her pockets And she won't             |	{ look }
738    |	           pockets And she won't look             |	{ at }
739    |	              And she won't look at               |	{ you }
740    |	              she won't look at you               |	{ Won't }
741    |	             won't look at you Won't              |	{ look }
742    |	             look at you Won't look               |	{ at }
743    |	              at you Won't look at                |	{ you }
744    |	              you Won't look at you               |	{ She }
745    |	              Won't look at you She               |	{ hides }
746    |	              look at you She hides               |	{ through }
747    |	            at you She hides through              |	{ love }
748    |	           you She hides through love             |	{ en }
749    |	            She hides through love en             |	{ su , su }
750    |	            hides through love en su              |	{ bolsillo , bolsillo }
751    |	           through love en su bolsillo            |	{ She , She }
752    |	             love en su bolsillo She              |	{ got , got }
753    |	             en su bolsillo She got               |	{ a , a }
754    |	              su bolsillo She got a               |	{ halo , halo }
755    |	             bolsillo She got a halo              |	{ around , around }
756    |	              She got a halo around               |	{ her , her }
757    |	              got a halo around her               |	{ finger , finger }
758    |	            a halo around her finger              |	{ Around , around }
759    |	          halo around her finger Around           |	{ you }
760    |	          around her finger Around you            |	{ You }
761    |	            her finger Around you You             |	{ know }
762    |	           finger Around you You know             |	{ that }
763    |	            Around you You know that              |	{ I }
764    |	               you You know that I                |	{ love }
765    |	              You know that I love                |	{ you , you , you , you }
766    |	              know that I love you                |	{ boy , boy , boy , boy }
767    |	               that I love you boy                |	{ Hot , Hot , Hot , Hot }
768    |	               I love you boy Hot                 |	{ like , like , like , like }
769    |	              love you boy Hot like               |	{ Mexico, , Mexico, , Mexico, , Mexico, }
770    |	            you boy Hot like Mexico,              |	{ rejoice , rejoice , rejoice , rejoice }
771    |	          boy Hot like Mexico, rejoice            |	{ At , At , At , At }
772    |	           Hot like Mexico, rejoice At            |	{ this , this , this , this }
773    |	          like Mexico, rejoice At this            |	{ point , point , point , point }
774    |	          Mexico, rejoice At this point           |	{ I , I , I , I }
775    |	             rejoice At this point I              |	{ gotta , gotta , gotta , gotta }
776    |	              At this point I gotta               |	{ choose , choose , choose , choose }
777    |	            this point I gotta choose             |	{ Nothing , Nothing , Nothing , Nothing }
778    |	          point I gotta choose Nothing            |	{ to , to , to , loose }
779    |	            I gotta choose Nothing to             |	{ loose , loose , loose }
780    |	          gotta choose Nothing to loose           |	{ Don't , Don't , Don't }
781    |	          choose Nothing to loose Don't           |	{ call , call , call }
782    |	           Nothing to loose Don't call            |	{ my , my , my }
783    |	             to loose Don't call my               |	{ name , name , name }
784    |	            loose Don't call my name              |	{ Don't , Don't , Don't , Don't }
785    |	            Don't call my name Don't              |	{ call , call , call , call , call , call }
786    |	             call my name Don't call              |	{ my , my , my , my , my , my }
787    |	              my name Don't call my               |	{ name, , name, , name, , name, , name, , name, }
788    |	            name Don't call my name,              |	{ Alejandro , Roberto , Alejandro , Alejandro , Roberto , Alejandro }
789    |	          Don't call my name, Alejandro           |	{ I'm , I'm , I'm , Cherry, }
790    |	           call my name, Alejandro I'm            |	{ not , not , not }
791    |	           my name, Alejandro I'm not             |	{ your , your , your }
792    |	          name, Alejandro I'm not your            |	{ babe , babe , babe }
793    |	           Alejandro I'm not your babe            |	{ I'm , I , I'm }
794    |	              I'm not your babe I'm               |	{ not , not }
795    |	              not your babe I'm not               |	{ your , your }
796    |	             your babe I'm not your               |	{ babe, , babe, }
797    |	             babe I'm not your babe,              |	{ Fernando , Fernando }
798    |	           I'm not your babe, Fernando            |	{ Don't , Don't }
799    |	          not your babe, Fernando Don't           |	{ wanna , wanna }
800    |	         your babe, Fernando Don't wanna          |	{ kiss, , kiss, }
801    |	        babe, Fernando Don't wanna kiss,          |	{ don't , don't }
802    |	        Fernando Don't wanna kiss, don't          |	{ wanna , wanna }
803    |	          Don't wanna kiss, don't wanna           |	{ touch , touch }
804    |	          wanna kiss, don't wanna touch           |	{ Just , Just }
805    |	          kiss, don't wanna touch Just            |	{ smoke , smoke }
806    |	          don't wanna touch Just smoke            |	{ one , one }
807    |	           wanna touch Just smoke one             |	{ cigarette , cigarette }
808    |	         touch Just smoke one cigarette           |	{ more , and }
809    |	          Just smoke one cigarette more           |	{ Don't }
810    |	         smoke one cigarette more Don't           |	{ call }
811    |	          one cigarette more Don't call           |	{ my }
812    |	          cigarette more Don't call my            |	{ name }
813    |	             more Don't call my name              |	{ Don't }
814    |	           Don't call my name, Roberto            |	{ Alejandro , Alejandro }
815    |	         call my name, Roberto Alejandro          |	{ Alejandro , Alejandro }
816    |	      my name, Roberto Alejandro Alejandro        |	{ Ale-ale-jandro , Ale-ale-jandro }
817    |	name, Roberto Alejandro Alejandro Ale-ale-jandro  |	{ Ale-ale-jandro , Ale-ale-jandro }
818    |	Roberto Alejandro Alejandro Ale-ale-jandro Ale-ale-jandro     |	{ Just , Just }
819    |	Alejandro Alejandro Ale-ale-jandro Ale-ale-jandro Just   |	{ stop , stop }
820    |	Alejandro Ale-ale-jandro Ale-ale-jandro Just stop |	{ Please, , Please, }
821    |	 Ale-ale-jandro Ale-ale-jandro Just stop Please,  |	{ Just , Just }
822    |	      Ale-ale-jandro Just stop Please, Just       |	{ let , let }
823    |	           Just stop Please, Just let             |	{ me , me }
824    |	            stop Please, Just let me              |	{ go , go }
825    |	             Please, Just let me go               |	{ Alejandro, , Alejandro, }
826    |	            Just let me go Alejandro,             |	{ Just , Just }
827    |	            let me go Alejandro, Just             |	{ let , let }
828    |	            me go Alejandro, Just let             |	{ me , me }
829    |	            go Alejandro, Just let me             |	{ go , go }
830    |	            Alejandro, Just let me go             |	{ She's , She's }
831    |	              Just let me go She's                |	{ not , not }
832    |	               let me go She's not                |	{ broken , broken }
833    |	             me go She's not broken               |	{ She's , She's }
834    |	            go She's not broken She's             |	{ just , just }
835    |	           She's not broken She's just            |	{ a , a }
836    |	             not broken She's just a              |	{ baby , baby }
837    |	            broken She's just a baby              |	{ But , But }
838    |	              She's just a baby But               |	{ her , her }
839    |	               just a baby But her                |	{ boyfriend's , boyfriend's }
840    |	           a baby But her boyfriend's             |	{ like , like }
841    |	          baby But her boyfriend's like           |	{ a , a }
842    |	           But her boyfriend's like a             |	{ dad, , dad, }
843    |	           her boyfriend's like a dad,            |	{ just , just }
844    |	          boyfriend's like a dad, just            |	{ like , like }
845    |	              like a dad, just like               |	{ a , a }
846    |	               a dad, just like a                 |	{ dad , dad }
847    |	              dad, just like a dad                |	{ Draw , Draw }
848    |	              just like a dad Draw                |	{ those , those }
849    |	              like a dad Draw those               |	{ flames , flames }
850    |	             a dad Draw those flames              |	{ that , that }
851    |	           dad Draw those flames that             |	{ burn , burn }
852    |	           Draw those flames that burn            |	{ before , before }
853    |	          those flames that burn before           |	{ him , him }
854    |	           flames that burn before him            |	{ Now , Now }
855    |	            that burn before him Now              |	{ he's , he's }
856    |	            burn before him Now he's              |	{ gonna , gonna }
857    |	            before him Now he's gonna             |	{ find , find }
858    |	             him Now he's gonna find              |	{ a , a }
859    |	              Now he's gonna find a               |	{ fight, , fight, }
860    |	            he's gonna find a fight,              |	{ gonna , gonna }
861    |	            gonna find a fight, gonna             |	{ fool , fool }
862    |	            find a fight, gonna fool              |	{ the , the }
863    |	             a fight, gonna fool the              |	{ bad , bad }
864    |	            fight, gonna fool the bad             |	{ You , You }
865    |	             gonna fool the bad You               |	{ know , know }
866    |	              fool the bad You know               |	{ that , that }
867    |	              the bad You know that               |	{ I , I }
868    |	               bad You know that I                |	{ love , love }
869    |	               I'm not your babe I                |	{ know }
870    |	              not your babe I know                |	{ that }
871    |	              your babe I know that               |	{ we }
872    |	               babe I know that we                |	{ are }
873    |	              that we are young and               |	{ I }
874    |	               we are young and I                 |	{ know }
875    |	              are young and I know                |	{ that }
876    |	              young and I know that               |	{ he }
877    |	               and I know that he                 |	{ may }
878    |	               I know that he may                 |	{ love }
879    |	              know that he may love               |	{ me }
880    |	               that he may love me                |	{ But }
881    |	               he may love me But                 |	{ I }
882    |	           you like this anymore She's            |	{ got }
883    |	           like this anymore She's got            |	{ both }
884    |	           this anymore She's got both            |	{ hands }
885    |	          anymore She's got both hands            |	{ in }
886    |	             She's got both hands in              |	{ her }
887    |	              got both hands in her               |	{ pocket }
888    |	            both hands in her pocket              |	{ and }
889    |	             hands in her pocket and              |	{ she }
890    |	              in her pocket and she               |	{ won't }
891    |	            her pocket and she won't              |	{ look }
892    |	            pocket and she won't look             |	{ at }
893    |	              and she won't look at               |	{ you, }
894    |	             she won't look at you,               |	{ won't }
895    |	            won't look at you, won't              |	{ look }
896    |	             look at you, won't look              |	{ at }
897    |	              at you, won't look at               |	{ you }
898    |	             you, won't look at you               |	{ oh }
899    |	              won't look at you oh                |	{ She }
900    |	               look at you oh She                 |	{ hides }
901    |	               at you oh She hides                |	{ through }
902    |	            you oh She hides through              |	{ love }
903    |	            oh She hides through love             |	{ en }
904    |	          halo around her finger around           |	{ you }
905    |	          around her finger around you            |	{ oh }
906    |	            her finger around you oh              |	{ You }
907    |	            finger around you oh You              |	{ know }
908    |	             around you oh You know               |	{ that }
909    |	              you oh You know that                |	{ I }
910    |	               oh You know that I                 |	{ love }
911    |	          Just smoke one cigarette and            |	{ run. }
912    |	          smoke one cigarette and run.            |	{ Don't }
913    |	          one cigarette and run. Don't            |	{ call }
914    |	          cigarette and run. Don't call           |	{ my }
915    |	             and run. Don't call my               |	{ name }
916    |	             run. Don't call my name              |	{ Don't }
917    |	          I gotta choose Nothing loose            |	{ Don't }
918    |	        gotta choose Nothing loose Don't          |	{ call }
919    |	         choose Nothing loose Don't call          |	{ my }
920    |	           Nothing loose Don't call my            |	{ name }
921    |	         call my name, Alejandro Cherry,          |	{ cherry, }
922    |	       my name, Alejandro Cherry, cherry,         |	{ boom, }
923    |	      name, Alejandro Cherry, cherry, boom,       |	{ boom }
924    |	      Alejandro Cherry, cherry, boom, boom        |	{ Gaga }
925    |	         Cherry, cherry, boom, boom Gaga          |	{ Boy, }
926    |	          cherry, boom, boom Gaga Boy,            |	{ we've }
927    |	           boom, boom Gaga Boy, we've             |	{ had }
928    |	            boom Gaga Boy, we've had              |	{ a }
929    |	              Gaga Boy, we've had a               |	{ real }
930    |	              Boy, we've had a real               |	{ good }
931    |	              we've had a real good               |	{ time }
932    |	              had a real good time                |	{ And }
933    |	              a real good time And                |	{ I }
934    |	              real good time And I                |	{ wish }
935    |	              good time And I wish                |	{ you }
936    |	               time And I wish you                |	{ the }
937    |	               And I wish you the                 |	{ best }
938    |	               I wish you the best                |	{ on }
939    |	              wish you the best on                |	{ your }
940    |	              you the best on your                |	{ way, }
941    |	              the best on your way,               |	{ eh, }
942    |	              best on your way, eh,               |	{ eh }
943    |	               on your way, eh, eh                |	{ I }
944    |	               your way, eh, eh I                 |	{ didn't }
945    |	              way, eh, eh I didn't                |	{ mean }
946    |	              eh, eh I didn't mean                |	{ to }
947    |	               eh I didn't mean to                |	{ hurt }
948    |	              I didn't mean to hurt               |	{ you }
949    |	             didn't mean to hurt you              |	{ I }
950    |	               mean to hurt you I                 |	{ never }
951    |	               to hurt you I never                |	{ thought }
952    |	            hurt you I never thought              |	{ we'd }
953    |	            you I never thought we'd              |	{ fall }
954    |	            I never thought we'd fall             |	{ out }
955    |	           never thought we'd fall out            |	{ of }
956    |	            thought we'd fall out of              |	{ place, }
957    |	             we'd fall out of place,              |	{ eh, }
958    |	             fall out of place, eh,               |	{ eh }
959    |	              out of place, eh, eh                |	{ I }
960    |	               of place, eh, eh I                 |	{ have }
961    |	              place, eh, eh I have                |	{ something }
962    |	             eh, eh I have something              |	{ that , that }
963    |	            eh I have something that              |	{ I , I , I }
964    |	             I have something that I              |	{ love , love , love }
965    |	           have something that I love             |	{ long, , long, , long, }
966    |	           something that I love long,            |	{ long , long , long }
967    |	             that I love long, long               |	{ But , But , But }
968    |	              I love long, long But               |	{ my , my , my }
969    |	             love long, long But my               |	{ friends , friends , friends }
970    |	            long, long But my friends             |	{ keepa' , keepa' , keepa' }
971    |	           long But my friends keepa'             |	{ tellin' , tellin' , tellin' }
972    |	          But my friends keepa' tellin'           |	{ me , me , me }
973    |	          my friends keepa' tellin' me            |	{ that , that , that }
974    |	         friends keepa' tellin' me that           |	{ something's , something's , something's }
975    |	       keepa' tellin' me that something's         |	{ wrong , wrong , wrong }
976    |	        tellin' me that something's wrong         |	{ Then , Then , Then }
977    |	         me that something's wrong Then           |	{ I , I , I }
978    |	          that something's wrong Then I           |	{ met , met , met }
979    |	          something's wrong Then I met            |	{ someone , someone , someone }
980    |	            wrong Then I met someone              |	{ And , And , And }
981    |	             Then I met someone And               |	{ eh, , eh, , eh, }
982    |	              I met someone And eh,               |	{ there's , there's , there's }
983    |	           met someone And eh, there's            |	{ nothing , nothing , nothing }
984    |	         someone And eh, there's nothing          |	{ else , else , else }
985    |	          And eh, there's nothing else            |	{ I , I , I }
986    |	           eh, there's nothing else I             |	{ can , can , can , can , can , can , can , can , can , can }
987    |	           there's nothing else I can             |	{ say , say , say , say , say , say , say , say , say , say }
988    |	             nothing else I can say               |	{ Eh, , Eh, , Eh, , Eh, , Eh, , Eh, , Eh, , Eh, , Eh, , Eh, }
989    |	               else I can say Eh,                 |	{ eh, , eh, , eh , eh, , eh, , eh , eh, , eh, , eh, , eh, }
990    |	                I can say Eh, eh,                 |	{ there's , I , there's , I , eh, , wish , wish , cherry, }
991    |	             can say Eh, eh, there's              |	{ nothing , nothing }
992    |	           say Eh, eh, there's nothing            |	{ else , else }
993    |	          Eh, eh, there's nothing else            |	{ I , I , I , I , I , I }
994    |	                can say Eh, eh, I                 |	{ wish , wish }
995    |	               say Eh, eh, I wish                 |	{ he , he }
996    |	                Eh, eh, I wish he                 |	{ never , never }
997    |	               eh, I wish he never                |	{ looked , looked }
998    |	             I wish he never looked               |	{ at , at }
999    |	             wish he never looked at              |	{ me , me , me , me }
1000   |	              he never looked at me               |	{ that , that , that , that }
1001   |	             never looked at me that              |	{ way , way , way , way }
1002   |	              looked at me that way               |	{ Eh, , Eh, , Eh, , Eh, }
1003   |	               at me that way Eh,                 |	{ eh, , eh, , eh, , eh, }
1004   |	               me that way Eh, eh,                |	{ there's , there's , there's , there's }
1005   |	            that way Eh, eh, there's              |	{ nothing , nothing , nothing , nothing }
1006   |	           way Eh, eh, there's nothing            |	{ else , else , else , else }
1007   |	                I can say Eh, eh                  |	{ Not , I }
1008   |	               can say Eh, eh Not                 |	{ that }
1009   |	               say Eh, eh Not that                |	{ I }
1010   |	                Eh, eh Not that I                 |	{ don't }
1011   |	               eh Not that I don't                |	{ care }
1012   |	              Not that I don't care               |	{ about }
1013   |	             that I don't care about              |	{ you }
1014   |	             I don't care about you               |	{ Just }
1015   |	            don't care about you Just             |	{ that }
1016   |	            care about you Just that              |	{ things }
1017   |	           about you Just that things             |	{ got }
1018   |	            you Just that things got              |	{ so }
1019   |	             Just that things got so              |	{ complique, }
1020   |	          that things got so complique,           |	{ eh, }
1021   |	          things got so complique, eh,            |	{ eh }
1022   |	            got so complique, eh, eh              |	{ I }
1023   |	             so complique, eh, eh I               |	{ met }
1024   |	             complique, eh, eh I met              |	{ somebody }
1025   |	              eh, eh I met somebody               |	{ cute }
1026   |	             eh I met somebody cute               |	{ and }
1027   |	             I met somebody cute and              |	{ funny }
1028   |	           met somebody cute and funny            |	{ Got }
1029   |	           somebody cute and funny Got            |	{ each }
1030   |	             cute and funny Got each              |	{ other }
1031   |	            and funny Got each other              |	{ and }
1032   |	            funny Got each other and              |	{ that's }
1033   |	            Got each other and that's             |	{ funny, }
1034   |	          each other and that's funny,            |	{ eh, }
1035   |	           other and that's funny, eh,            |	{ eh, }
1036   |	            and that's funny, eh, eh,             |	{ eh }
1037   |	            that's funny, eh, eh, eh              |	{ I }
1038   |	               funny, eh, eh, eh I                |	{ have }
1039   |	                eh, eh, eh I have                 |	{ something }
1040   |	                can say Eh, eh I                  |	{ have }
1041   |	                say Eh, eh I have                 |	{ something }
1042   |	             Eh, eh I have something              |	{ that }
1043   |	               can say Eh, eh, eh,                |	{ eh, }
1044   |	               say Eh, eh, eh, eh,                |	{ eh, }
1045   |	               Eh, eh, eh, eh, eh,                |	{ there's }
1046   |	             eh, eh, eh, eh, there's              |	{ nothing }
1047   |	           eh, eh, eh, there's nothing            |	{ else }
1048   |	          eh, eh, there's nothing else            |	{ I }
1049   |	              can say Eh, eh, wish                |	{ he , he }
1050   |	               say Eh, eh, wish he                |	{ never , never }
1051   |	              Eh, eh, wish he never               |	{ looked , looked }
1052   |	            eh, wish he never looked              |	{ at , at }
1053   |	             can say Eh, eh, cherry,              |	{ cherry, }
1054   |	           say Eh, eh, cherry, cherry,            |	{ boom, }
1055   |	          Eh, eh, cherry, cherry, boom,           |	{ boom }
1056   |	         eh, cherry, cherry, boom, boom           |	{ Eh, }
1057   |	         cherry, cherry, boom, boom Eh,           |	{ eh }
1058   |	            cherry, boom, boom Eh, eh             |	{ Oh, }
1059   |	              boom, boom Eh, eh Oh,               |	{ yeah }
1060   |	              boom Eh, eh Oh, yeah                |	{ All }
1061   |	               Eh, eh Oh, yeah All                |	{ I }
1062   |	                eh Oh, yeah All I                 |	{ can }
1063   |	               Oh, yeah All I can                 |	{ say }
1064   |	               yeah All I can say                 |	{ is, }
1065   |	                All I can say is,                 |	{ eh }
1066   |	                I can say is, eh                  |	{ Red }
1067   |	               can say is, eh Red                 |	{ one, }
1068   |	               say is, eh Red one,                |	{ Heidi }
1069   |	              is, eh Red one, Heidi               |	{ Oh, }
1070   |	              eh Red one, Heidi Oh,               |	{ oh, }
1071   |	             Red one, Heidi Oh, oh,               |	{ la, }
1072   |	             one, Heidi Oh, oh, la,               |	{ la, }
1073   |	              Heidi Oh, oh, la, la,               |	{ la }
1074   |	               Oh, oh, la, la, la                 |	{ We , We , We , We , We , We }
1075   |	                oh, la, la, la We                 |	{ love , love , love , love , love , love }
1076   |	               la, la, la We love                 |	{ designer , designer , designer , designer , designer , designer }
1077   |	             la, la We love designer              |	{ I , I , Oh, , Fashion , Oh, , I }
1078   |	              la We love designer I               |	{ am, , need, , don't }
1079   |	             We love designer I am,               |	{ I'm }
1080   |	             love designer I am, I'm              |	{ too }
1081   |	             designer I am, I'm too               |	{ fabulous }
1082   |	             I am, I'm too fabulous               |	{ I'm }
1083   |	            am, I'm too fabulous I'm              |	{ so }
1084   |	             I'm too fabulous I'm so              |	{ fierce }
1085   |	           too fabulous I'm so fierce             |	{ that }
1086   |	           fabulous I'm so fierce that            |	{ it's }
1087   |	             I'm so fierce that it's              |	{ so }
1088   |	             so fierce that it's so               |	{ nuts }
1089   |	            fierce that it's so nuts              |	{ I }
1090   |	               that it's so nuts I                |	{ live, }
1091   |	              it's so nuts I live,                |	{ to }
1092   |	               so nuts I live, to                 |	{ be }
1093   |	               nuts I live, to be                 |	{ model }
1094   |	               I live, to be model                |	{ thin }
1095   |	             live, to be model thin               |	{ Dress }
1096   |	             to be model thin Dress               |	{ me, }
1097   |	             be model thin Dress me,              |	{ I'm }
1098   |	            model thin Dress me, I'm              |	{ your }
1099   |	             thin Dress me, I'm your              |	{ mannequin }
1100   |	          Dress me, I'm your mannequin            |	{ J'adore, }
1101   |	         me, I'm your mannequin J'adore,          |	{ Vivienne }
1102   |	      I'm your mannequin J'adore, Vivienne        |	{ I }
1103   |	       your mannequin J'adore, Vivienne I         |	{ really }
1104   |	      mannequin J'adore, Vivienne I really        |	{ want }
1105   |	         J'adore, Vivienne I really want          |	{ Pucci, }
1106   |	          Vivienne I really want Pucci,           |	{ Fendi, }
1107   |	           I really want Pucci, Fendi,            |	{ and }
1108   |	          really want Pucci, Fendi, and           |	{ Cardin, }
1109   |	         want Pucci, Fendi, and Cardin,           |	{ Valentino, }
1110   |	      Pucci, Fendi, and Cardin, Valentino,        |	{ Armani }
1111   |	      Fendi, and Cardin, Valentino, Armani        |	{ too }
1112   |	        and Cardin, Valentino, Armani too         |	{ Madame }
1113   |	      Cardin, Valentino, Armani too Madame        |	{ love }
1114   |	        Valentino, Armani too Madame love         |	{ them }
1115   |	           Armani too Madame love them            |	{ Jimmy }
1116   |	           too Madame love them Jimmy             |	{ Choo }
1117   |	           Madame love them Jimmy Choo            |	{ Fashion }
1118   |	          love them Jimmy Choo Fashion            |	{ put }
